IONA	45	A small island in the Inner Hebrides, Argyll and Bute council area, Scotland.
SLUT	30	a woman adulterer
SER	40	Abbreviation of serial.
ALC	45	Abbreviation of alcohol.
ATA	45	Advanced Technology Attachment; a computer bus technology primarily designed for transfer of data to and from a hard disk. (Renamed PATA when SATA came into existence to more clearly distinguish the two.)
OLA	45	leaf or strip from a leaf of the talipot palm used in India for writing paper
HOMOS	1	plural of homo
COCKTEASES	1	plural of cocktease
ANTIGAY	40	Alternative spelling of anti-gay.
APNOEA	35	Alternative form of apnea.
IAS	30	Initialism of Indian Administrative Service.
OTE	35	Initialism of on target earnings.
OSE	35	An esker.
DSM	25	Initialism of distinguished service medal.
AIS	35	plural of ai
ERST	49	at a previous time
GIMPS	45	plural of gimp
ONOS	20	Synonym of epinetron (“Attic pottery item”).
BLU	45	Abbreviation of blue.
ARR	40	Abbreviation of arrival.
ARG	45	An argument; a value passed as a parameter.
APA	45	A title used for male clergy or saints in the Coptic Church.
SSS	40	an independent federal agency that administers compulsory military service
PUSSYWHIPPED	10	Submissive to or dominated by one's wife or other female partner, frequently with the connotation that this submissive behavior is for the prospect of sex.
MNO	45	Initialism of mobile network operator.
ABAG	20	A banner in Xilingol, Inner Mongolia autonomous region, China.
LVI	38	being six more than fifty
MII	38	A customizable avatar used on several Nintendo video game consoles and mobile applications.
ATMO	30	The standard atmospheric pressure used in certain physical measurements and calculations; conventionally, that pressure under which the barometer stands at 760 millimeters, at a temperature of 0° Centigrade, at the level of the sea, and in the latitude of Paris.
MLI	38	Initialism of Molecular Libraries and Imaging program.
CLITORIS	30	a female sexual organ homologous to the penis
OTOE	45	a dialect of the Chiwere language spoken by the Oto
AMYS	30	plural of Amy
SSSS	30	Initialism of staphylococcal scalded skin syndrome.
LII	38	being two more than fifty
ANUS	40	the excretory opening at the end of the alimentary canal
STROH	45	A surname from German.
ENUF	47	Deliberate misspelling of enough.
ELAT	35	Alternative form of Eilat (“Israeli city”).
ATP	45	Initialism of Association of Tennis Professionals: the governing body of men's professional tennis, formed in 1972.
NEONAZI	40	Alternative spelling of neo-Nazi.
UNC	45	Old; no longer versed in or relevant to current youth culture.
ULT	22	in or of the month preceding the present one
OID	35	Initialism of office ID.
ITT	45	Initialism of in this thread or in this topic.
TSR	30	Initialism of terminate and stay resident: a type of DOS program that can continue to run all the time, once it is loaded, even while other programs are running.
DEON	20	A surname.
RAAB	47	A surname from German.
ANE	20	used of a single unit or thing; not two or more
IDI	40	Synonym of Azawakh.
ACU	45	Initialism of accessory commercial unit.
TSOTSI	49	A hoodlum or street thug, especially one from the townships; a township skollie.
OSU	40	Initialism of Ohio State University.
AFR	40	Initialism of automatic face/facial recognition.
UNS	40	plural of un
ZAPATEOS	33	plural of zapateo
INLIERS	39	plural of inlier
ALCESTIS	40	A princess, the fairest of the daughters of Pelias, known for her love of her husband.
BSE	20	a fatal disease of cattle that affects the central nervous system; causes staggering and agitation
III	38	being one more than two
TITSUP	10	Alternative spelling of tits up.
ATO	35	Initialism of Australian Taxation Office.
IONE	45	Obsolete form of Joan.
BTS	48	Initialism of behind the scenes.
ABBE	40	a French abbot
CUM	20	the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
ISSN	45	Initialism of International Standard Serial Number.
ASE	45	An essential energy in West African religions.
EEE	40	An expression of happiness or excitement: yay!
ATC	35	Initialism of artist trading card.
NGOS	40	plural of NGO
ARAN	35	An archipelago off the west coast of Ireland, also called the Arans or the Aran Islands.
ISAN	35	A large region in northeastern Thailand, on the Khorat Plateau.
AER	49	An Indo-Aryan language of Pakistan.
ANEAR	48	Near.
BAI	45	the Tibeto-Burman language spoken in the Dali region of Yunnan
AFP	30	Initialism of Australian Federal Police.
GMAC	40	Acronym of Galois Message Authentication Code.
TESTATE	49	having made a legally valid will before death
RLS	40	plural of RL
ONC	40	Oncology.
ERI	40	A female given name from Japanese.
KAY	45	The name of the Latin script letter K/k.
DNC	45	Initialism of Democratic National Committee.
EES	45	plural of e, the name of the letter E.
FCS	40	Initialism of Football Championship Subdivision.
KEA	45	large brownish-green New Zealand parrot
