AA	abbreviation of "Alcoholics Anonymous": an international organization that provides a support group for persons trying to overcome alcoholism
AAA	abbreviation of "abdominal aortic aneurysm": an aneurysm of the abdominal aorta associated with old age and hypertension
AACHEN	a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital
AARDVARK	nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
AARON	(Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf
AB	the muscles of the abdomen
ABA	a fabric woven from goat hair and camel hair
ABACK	having the wind against the forward side of the sails
ABACUS	a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
ABAFT	at or near or toward the stern of a ship or tail of an airplane
ABALONE	any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
ABANDON	the trait of lacking restraint or control; reckless freedom from inhibition or worry
ABANDONED	forsaken by owner or inhabitants
ABANDONMENT	the act of giving something up
ABASE	cause to feel shame; hurt the pride of
ABASEMENT	a low or downcast state
ABASH	cause to be embarrassed; cause to feel self-conscious
ABASHED	feeling or caused to feel ill at ease or self-conscious or ashamed
ABASHMENT	feeling embarrassed due to modesty
ABATE	make less active or intense
ABATEMENT	an interruption in the intensity or amount of something
ABATTOIR	a building where animals are butchered
ABBE	a French abbot
ABBESS	the superior of a group of nuns
ABBEY	a church associated with a monastery or convent
ABBOT	the superior of an abbey of monks
ABBREVIATE	reduce in scope while retaining essential elements
ABBREVIATED	(of clothing) very short
ABBREVIATION	a shortened form of a word or phrase
ABC	abbreviation of "ABCs": a character set that includes letters and is used to write a language
ABCS	a character set that includes letters and is used to write a language
ABDICATE	give up, such as power, as of monarchs and emperors, or duties and obligations
ABDICATION	a formal resignation and renunciation of powers
ABDOMEN	the region of the body of a vertebrate between the thorax and the pelvis
ABDOMINAL	the muscles of the abdomen
ABDUCT	take away to an undisclosed location against their will and usually in order to extract a ransom
ABDUCTING	especially of muscles; drawing away from the midline of the body or from an adjacent part
ABDUCTION	the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
ABDUCTOR	someone who unlawfully seizes and detains a victim (usually for ransom)
ABEAM	at right angles to the length of a ship or airplane
ABED	in bed
ABEL	Norwegian mathematician (1802-1829)
ABELARD	French philosopher and theologian; lover of Heloise (1079-1142)
ABERDEEN	a city in northeastern Scotland on the North Sea
ABERRANT	one whose behavior departs substantially from the norm of a group
ABERRATION	a state or condition markedly different from the norm
ABET	assist or encourage, usually in some wrongdoing
ABETTER	one who helps or encourages or incites another
ABETTOR	one who helps or encourages or incites another
ABEYANCE	temporary cessation or suspension
ABHOR	find repugnant
ABHORRENCE	hate coupled with disgust
ABIDANCE	acting according to certain accepted standards
ABIDE	put up with something or somebody unpleasant
ABIDING	lasting a long time
ABIDJAN	city recognized by the United States as the capital of the Ivory Coast; largest city of the Ivory Coast
ABILENE	a city in central Texas
ABILITY	the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
ABJECT	of the most contemptible kind
ABJECTION	a low or downcast state
ABJECTLY	in a hopeless resigned manner
ABJURATION	a disavowal or taking back of a previous assertion
ABJURE	formally reject or disavow a formerly held belief, usually under pressure
ABLATE	wear away through erosion or vaporization
ABLATED	made smaller or less by melting or erosion or vaporization
ABLATION	surgical removal of a body part or tissue
ABLATIVE	the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb
ABLAZE	keenly excited (especially sexually) or indicating excitement
ABLE	(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something
ABLOOM	when the bud, or buds, on a plant are bursting into flower
ABLUTION	the ritual washing of a priest's hands or of sacred vessels
ABLY	with competence; in a competent capable manner
ABM	abbreviation of "anti-ballistic missile": a defensive missile designed to shoot down incoming intercontinental ballistic missiles
ABNEGATE	deny oneself (something); restrain, especially from indulging in some pleasure
ABNEGATION	the denial and rejection of a doctrine or belief
ABNORMAL	not normal; not typical or usual or regular or conforming to a norm
ABNORMALITY	an abnormal physical condition resulting from defective genes or developmental deficiencies
ABNORMALLY	in an abnormal manner
ABOARD	on a ship, train, plane or other vehicle
ABODE	any address at which you dwell more than temporarily
ABOLISH	do away with
ABOLITION	the act of abolishing a system or practice or institution (especially abolishing slavery)
ABOLITIONISM	the doctrine that calls for the abolition of slavery
ABOLITIONIST	a reformer who favors abolishing slavery
ABOMINABLE	exceptionally bad or displeasing
ABOMINABLY	in an offensive and hateful manner
ABOMINATE	find repugnant
ABOMINATION	a person who is loathsome or disgusting
ABORIGINAL	an indigenous person who was born in a particular place
