answer	length	kind	pos	clue	selfref	display	lexname	synset
AAA	3	common	noun	an aneurysm of the abdominal aorta associated with old age and hypertension	0	AAA	noun.state	14129938-n
AACHEN	6	name	noun	a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital	0	Aachen	noun.location	08787272-n
AAH	3	common	verb	express admiration and pleasure by uttering ‘ooh’ or ‘aah’	1	aah	verb.communication	00867440-v
AALANDISLANDS	13	name	noun	an archipelago of some 6,000 islands in the Gulf of Bothnia under Finnish control	1	Aaland islands	noun.location	08798362-n
AALBORG	7	name	noun	a city and port in northern Jutland	0	Aalborg	noun.location	08780076-n
AALII	5	common	noun	a small Hawaiian tree with hard dark wood	0	aalii	noun.plant	12761727-n
AALST	5	name	noun	a town in central Belgium	0	Aalst	noun.location	08869655-n
AALTO	5	name	noun	Finnish architect and designer of furniture (1898-1976)	0	Aalto	noun.person	10826297-n
AAR	3	name	noun	a river in north central Switzerland that runs northeast into the Rhine	0	Aar	noun.object	09208961-n
AARDWOLF	8	common	noun	striped hyena of southeast Africa that feeds chiefly on insects	0	aardwolf	noun.animal	02120828-n
AARE	4	name	noun	a river in north central Switzerland that runs northeast into the Rhine	0	Aare	noun.object	09208961-n
AARERIVER	9	name	noun	a river in north central Switzerland that runs northeast into the Rhine	1	Aare River	noun.object	09208961-n
AARHUS	6	name	noun	port city of Denmark in eastern Jutland	0	Aarhus	noun.location	08779937-n
AARON	5	name	noun	(Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf	0	Aaron	noun.person	10826445-n
AARON	5	name	noun	United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)	0	Aaron	noun.person	10826620-n
AARONCOPLAND	12	name	noun	United States composer who developed a distinctly American music (1900-1990)	0	Aaron Copland	noun.person	10929681-n
AARONMONTGOMERYWARD	19	name	noun	United States businessman who in 1872 established a successful mail-order business (1843-1913)	0	Aaron Montgomery Ward	noun.person	11393892-n
AARP	4	common	noun	an association of people to promote the welfare of senior citizens	0	AARP	noun.group	08504159-n
AAS	3	common	noun	an associate degree in applied science	0	AAS	noun.communication	06710794-n
AAVE	4	common	noun	a nonstandard form of American English characteristically spoken by African Americans in the United States	0	AAVE	noun.communication	06960420-n
ABA	3	common	noun	a fabric woven from goat hair and camel hair	0	aba	noun.artifact	02668615-n
ABA	3	common	noun	a loose sleeveless outer garment made from aba cloth; worn by Arabs	1	aba	noun.artifact	02668709-n
ABACA	5	common	noun	Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc	0	abaca	noun.plant	12373948-n
ABACA	5	common	noun	a kind of hemp obtained from the abaca plant in the Philippines	1	abaca	noun.substance	14971696-n
ABACINATE	9	common	verb	blind by holding a red-hot metal plate before someone's eyes	0	abacinate	verb.perception	02172822-v
ABACK	5	common	adv	by surprise	0	aback	adv.all	00075922-r
ABACK	5	common	adv	having the wind against the forward side of the sails	0	aback	adv.all	00076005-r
ABACTINAL	9	common	adj	(of radiate animals) located on the surface or end opposite to that on which the mouth is situated	0	abactinal	adj.all	01670225-a
ABACUS	6	common	noun	a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves	0	abacus	noun.artifact	02668826-n
ABACUS	6	common	noun	a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave	0	abacus	noun.artifact	02668977-n
ABADAN	6	name	noun	a port city in southwestern Iran	0	Abadan	noun.location	08931375-n
ABAFT	5	common	adv	at or near or toward the stern of a ship or tail of an airplane	0	abaft	adv.all	00276839-r
ABAMP	5	common	noun	a unit of current equal to 10 amperes	0	abamp	noun.quantity	13659201-n
ABAMPERE	8	common	noun	a unit of current equal to 10 amperes	0	abampere	noun.quantity	13659201-n
ABANDON	7	common	verb	stop maintaining or insisting on; of ideas or claims	0	abandon	verb.cognition	00614907-v
ABANDON	7	common	verb	leave someone who needs or counts on you; leave in the lurch	0	abandon	verb.cognition	00615748-v
ABANDON	7	common	verb	leave behind empty; move out of	0	abandon	verb.motion	02080923-v
ABANDON	7	common	verb	give up with the intent of never claiming again	0	abandon	verb.possession	02232523-v
ABANDON	7	common	verb	forsake, leave behind	0	abandon	verb.possession	02232813-v
ABANDON	7	common	noun	the trait of lacking restraint or control; reckless freedom from inhibition or worry	0	abandon	noun.attribute	04892593-n
ABANDON	7	common	noun	a feeling of extreme emotional intensity	0	abandon	noun.feeling	07496363-n
ABANDONED	9	common	adj	forsaken by owner or inhabitants	0	abandoned	adj.all	01315959-s
ABANDONED	9	common	adj	unrestrained and uninhibited	0	abandoned	adj.all	01320185-s
ABANDONEDINFANT	15	common	noun	a child who has been abandoned and whose parents are unknown	1	abandoned infant	noun.person	10127652-n
ABANDONEDPERSON	15	common	noun	someone for whom hope has been abandoned	1	abandoned person	noun.person	09773261-n
ABANDONEDSHIP	13	common	noun	a ship abandoned on the high seas	1	abandoned ship	noun.artifact	02669131-n
ABANDONMENT	11	common	noun	withdrawing support or help despite allegiance or responsibility	0	abandonment	noun.act	00056135-n
ABANDONMENT	11	common	noun	the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away	0	abandonment	noun.act	00091833-n
ABANDONMENT	11	common	noun	the act of giving something up	0	abandonment	noun.act	00205288-n
ABARTICULATION	14	common	noun	dislocation of a joint	0	abarticulation	noun.state	14317773-n
ABASE	5	common	verb	cause to feel shame; hurt the pride of	0	abase	verb.emotion	01803805-v
ABASEMENT	9	common	noun	depriving one of self-esteem	0	abasement	noun.act	00274293-n
ABASEMENT	9	common	noun	a low or downcast state	0	abasement	noun.state	14464089-n
ABASH	5	common	verb	cause to be embarrassed; cause to feel self-conscious	0	abash	verb.emotion	01796126-v
ABASHED	7	common	adj	feeling or caused to feel ill at ease or self-conscious or ashamed	0	abashed	adj.all	00533833-s
ABASHMENT	9	common	noun	feeling embarrassed due to modesty	0	abashment	noun.feeling	07523331-n
ABASIA	6	common	noun	inability to walk	0	abasia	noun.state	14572662-n
ABASIATREPIDANS	15	common	noun	abasia due to trembling of the legs	1	abasia trepidans	noun.state	14572876-n
ABASIC	6	common	adj	of or relating to abasia (inability to walk)	0	abasic	adj.pert	02609205-a
ABATABLE	8	common	adj	capable of being abated	0	abatable	adj.all	02295754-s
ABATABLENUISANCE	16	common	noun	a nuisance that can remedied (suppressed or extinguished or rendered harmless)	1	abatable nuisance	noun.cognition	05839156-n
ABATE	5	common	verb	become less in amount or intensity	0	abate	verb.change	00245945-v
ABATE	5	common	verb	make less active or intense	0	abate	verb.change	00246175-v
ABATEMENT	9	common	noun	the act of abating	0	abatement	noun.act	00362159-n
ABATEMENT	9	common	noun	an interruption in the intensity or amount of something	0	abatement	noun.event	07382856-n
ABATEMENTOFANUISANCE	20	common	noun	(law) the removal or termination or destruction of something that has been found to be a nuisance	1	abatement of a nuisance	noun.act	00362285-n
ABATIC	6	common	adj	of or relating to abasia (inability to walk)	0	abatic	adj.pert	02609205-a
ABATOR	6	common	noun	a person who abates a nuisance	0	abator	noun.person	09773382-n
ABATTERY	8	common	noun	the battery used to heat the filaments of a vacuum tube	1	A battery	noun.artifact	02669254-n
ABATTOIR	8	common	noun	a building where animals are butchered	0	abattoir	noun.artifact	02669573-n
ABAXIAL	7	common	adj	facing away from the axis of an organ or organism	0	abaxial	adj.all	00002312-a
ABAXIALLY	9	common	adv	in an abaxial manner	0	abaxially	adv.all	00515036-r
ABAYA	5	common	noun	(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women	0	abaya	noun.artifact	02669723-n
ABB	3	name	noun	an urban hit squad and guerrilla group of the Communist Party in the Philippines; formed in the 1980s	0	ABB	noun.group	08027998-n
ABBACY	6	common	noun	the jurisdiction or office of an abbot	0	abbacy	noun.location	08567939-n
ABBATIAL	8	common	adj	of or having to do with or belonging to an abbey or abbot, or abbess	0	abbatial	adj.pert	02609365-a
ABBE	4	common	noun	a French abbot	0	abbe	noun.person	09773483-n
ABBECONDENSER	13	common	noun	a condenser having 2 or 3 lenses with wide aperture for use in microscopes	1	Abbe condenser	noun.artifact	02669874-n
ABBESS	6	common	noun	the superior of a group of nuns	0	abbess	noun.person	09773548-n
ABBEVERTICALMETROSCOPE	22	common	noun	A measuring device that used Abbe's principle; used for dimensional measurements.	1	Abbe vertical metroscope	noun.artifact	92459112-n
ABBEY	5	common	noun	a monastery ruled by an abbot	0	abbey	noun.artifact	02670009-n
ABBEY	5	common	noun	a convent ruled by an abbess	0	abbey	noun.artifact	02670108-n
ABBEY	5	common	noun	a church associated with a monastery or convent	0	abbey	noun.artifact	02670206-n
ABBOT	5	common	noun	the superior of an abbey of monks	0	abbot	noun.person	09773735-n
ABBOTTLAWRENCELOWELL	20	name	noun	United States educator and president of Harvard University (1856-1943)	0	Abbott Lawrence Lowell	noun.person	11162358-n
ABBREVIATE	10	common	verb	shorten	0	abbreviate	verb.change	00244635-v
ABBREVIATE	10	common	verb	reduce in scope while retaining essential elements	0	abbreviate	verb.change	00244786-v
ABBREVIATED	11	common	adj	(of clothing) very short	0	abbreviated	adj.all	01439307-s
ABBREVIATED	11	common	adj	cut short in duration	0	abbreviated	adj.all	01445488-s
ABBREVIATION	12	common	noun	shortening something by omitting parts of it	0	abbreviation	noun.act	00359961-n
ABBREVIATION	12	common	noun	a shortened form of a word or phrase	0	abbreviation	noun.communication	07105779-n
ABBREVIATOR	11	common	noun	one who shortens or abridges or condenses a written work	0	abbreviator	noun.person	09774238-n
ABC	3	common	noun	a character set that includes letters and is used to write a language	0	ABC	noun.communication	06509450-n
ABCOULOMB	9	common	noun	a unit of electrical charge equal to 10 coulombs	0	abcoulomb	noun.quantity	13658345-n
ABCS	4	common	noun	a character set that includes letters and is used to write a language	0	ABC's	noun.communication	06509450-n
ABDIAS	6	name	noun	an Old Testament book telling Obadiah's prophecies; the shortest book in the Christian Bible	0	Abdias	noun.communication	06451382-n
ABDIAS	6	name	noun	a Hebrew minor prophet, he was chosen to prophesy against Edom	0	Abdias	noun.person	11231226-n
ABDICABLE	9	common	adj	capable of being discarded or renounced or relinquished	0	abdicable	adj.all	02538243-s
ABDICATE	8	common	verb	give up, such as power, as of monarchs and emperors, or duties and obligations	0	abdicate	verb.social	02384340-v
ABDICATION	10	common	noun	the act of abdicating	0	abdication	noun.communication	06523753-n
ABDICATION	10	common	noun	a formal resignation and renunciation of powers	0	abdication	noun.communication	07269124-n
ABDICATOR	9	common	noun	one who formally relinquishes an office or responsibility	0	abdicator	noun.person	09774988-n
ABDOMEN	7	common	noun	the region of the body of a vertebrate between the thorax and the pelvis	0	abdomen	noun.body	05564576-n
ABDOMEN	7	common	noun	the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm	0	abdomen	noun.body	05565978-n
ABDOMINAL	9	common	adj	of or relating to or near the abdomen	0	abdominal	adj.pert	02945931-a
ABDOMINAL	9	common	noun	the muscles of the abdomen	0	abdominal	noun.body	05564972-n
ABDOMINALACTINOMYCOSIS	22	common	noun	a serious form of actinomycosis that affects the abdomen	1	abdominal actinomycosis	noun.state	14283241-n
ABDOMINALAORTA	14	common	noun	a branch of the descending aorta	1	abdominal aorta	noun.body	05344183-n
ABDOMINALAORTICANEURYSM	23	common	noun	an aneurysm of the abdominal aorta associated with old age and hypertension	1	abdominal aortic aneurysm	noun.state	14129938-n
ABDOMINALBREATHING	18	common	noun	breathing in which most of the respiratory effort is done by the abdominal muscles	1	abdominal breathing	noun.act	00834957-n
ABDOMINALCAVITY	15	common	noun	the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm	1	abdominal cavity	noun.body	05565978-n
ABDOMINALMUSCLE	15	common	noun	the muscles of the abdomen	0	abdominal muscle	noun.body	05564972-n
