answer	clue
AAA	an aneurysm of the abdominal aorta associated with old age and hypertension
AACHEN	a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital
AAH	express admiration and pleasure by uttering ‘ooh’ or ‘aah’
AALANDISLANDS	an archipelago of some 6,000 islands in the Gulf of Bothnia under Finnish control
AALBORG	a city and port in northern Jutland
AALII	a small Hawaiian tree with hard dark wood
AALST	a town in central Belgium
AALTO	Finnish architect and designer of furniture (1898-1976)
AAR	a river in north central Switzerland that runs northeast into the Rhine
AARDWOLF	striped hyena of southeast Africa that feeds chiefly on insects
AARE	a river in north central Switzerland that runs northeast into the Rhine
AARERIVER	a river in north central Switzerland that runs northeast into the Rhine
AARHUS	port city of Denmark in eastern Jutland
AARON	(Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf
AARONCOPLAND	United States composer who developed a distinctly American music (1900-1990)
AARONMONTGOMERYWARD	United States businessman who in 1872 established a successful mail-order business (1843-1913)
AARP	an association of people to promote the welfare of senior citizens
AAS	an associate degree in applied science
AAVE	a nonstandard form of American English characteristically spoken by African Americans in the United States
ABA	a fabric woven from goat hair and camel hair
ABACA	Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
ABACINATE	blind by holding a red-hot metal plate before someone's eyes
ABACK	by surprise
ABACTINAL	(of radiate animals) located on the surface or end opposite to that on which the mouth is situated
ABACUS	a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
ABADAN	a port city in southwestern Iran
ABAFT	at or near or toward the stern of a ship or tail of an airplane
ABAMP	a unit of current equal to 10 amperes
ABAMPERE	a unit of current equal to 10 amperes
ABANDON	stop maintaining or insisting on; of ideas or claims
ABANDONED	forsaken by owner or inhabitants
ABANDONEDINFANT	a child who has been abandoned and whose parents are unknown
ABANDONEDPERSON	someone for whom hope has been abandoned
ABANDONEDSHIP	a ship abandoned on the high seas
ABANDONMENT	withdrawing support or help despite allegiance or responsibility
ABARTICULATION	dislocation of a joint
ABASE	cause to feel shame; hurt the pride of
ABASEMENT	depriving one of self-esteem
ABASH	cause to be embarrassed; cause to feel self-conscious
ABASHED	feeling or caused to feel ill at ease or self-conscious or ashamed
ABASHMENT	feeling embarrassed due to modesty
ABASIA	inability to walk
ABASIATREPIDANS	abasia due to trembling of the legs
ABASIC	of or relating to abasia (inability to walk)
ABATABLE	capable of being abated
ABATABLENUISANCE	a nuisance that can remedied (suppressed or extinguished or rendered harmless)
ABATE	become less in amount or intensity
ABATEMENT	the act of abating
ABATEMENTOFANUISANCE	(law) the removal or termination or destruction of something that has been found to be a nuisance
ABATIC	of or relating to abasia (inability to walk)
ABATOR	a person who abates a nuisance
ABATTERY	the battery used to heat the filaments of a vacuum tube
ABATTOIR	a building where animals are butchered
ABAXIAL	facing away from the axis of an organ or organism
ABAXIALLY	in an abaxial manner
ABAYA	(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women
ABB	an urban hit squad and guerrilla group of the Communist Party in the Philippines; formed in the 1980s
ABBACY	the jurisdiction or office of an abbot
ABBATIAL	of or having to do with or belonging to an abbey or abbot, or abbess
ABBE	a French abbot
ABBECONDENSER	a condenser having 2 or 3 lenses with wide aperture for use in microscopes
ABBESS	the superior of a group of nuns
ABBEVERTICALMETROSCOPE	A measuring device that used Abbe's principle; used for dimensional measurements.
ABBEY	a monastery ruled by an abbot
ABBOT	the superior of an abbey of monks
ABBOTTLAWRENCELOWELL	United States educator and president of Harvard University (1856-1943)
ABBREVIATE	shorten
ABBREVIATED	(of clothing) very short
ABBREVIATION	shortening something by omitting parts of it
ABBREVIATOR	one who shortens or abridges or condenses a written work
ABC	a character set that includes letters and is used to write a language
ABCOULOMB	a unit of electrical charge equal to 10 coulombs
ABCS	a character set that includes letters and is used to write a language
ABDIAS	an Old Testament book telling Obadiah's prophecies; the shortest book in the Christian Bible
ABDICABLE	capable of being discarded or renounced or relinquished
ABDICATE	give up, such as power, as of monarchs and emperors, or duties and obligations
ABDICATION	the act of abdicating
ABDICATOR	one who formally relinquishes an office or responsibility
ABDOMEN	the region of the body of a vertebrate between the thorax and the pelvis
ABDOMINAL	of or relating to or near the abdomen
ABDOMINALACTINOMYCOSIS	a serious form of actinomycosis that affects the abdomen
ABDOMINALAORTA	a branch of the descending aorta
ABDOMINALAORTICANEURYSM	an aneurysm of the abdominal aorta associated with old age and hypertension
ABDOMINALBREATHING	breathing in which most of the respiratory effort is done by the abdominal muscles
ABDOMINALCAVITY	the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
ABDOMINALMUSCLE	the muscles of the abdomen
ABDOMINALNERVEPLEXUS	a large plexus of sympathetic nerves in the abdomen behind the stomach
ABDOMINALPREGNANCY	ectopic pregnancy in the abdominal cavity
ABDOMINALWALL	a wall of the abdomen
ABDOMINOCENTESIS	centesis of the belly to remove fluid for diagnosis
ABDOMINOPLASTY	cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach
ABDOMINOUS	having a large belly
ABDOMINOUSNESS	the bodily property of a protruding belly
ABDOMINOVESICAL	of or relating to the abdomen and the urinary bladder
ABDUCE	advance evidence for
ABDUCENS	a small motor nerve supplying the lateral rectus muscle of the eye
ABDUCENSMUSCLE	the ocular muscle whose contraction turns the eyeball outward
ABDUCENSNERVE	a small motor nerve supplying the lateral rectus muscle of the eye
ABDUCENT	especially of muscles; drawing away from the midline of the body or from an adjacent part
ABDUCENTNERVE	a small motor nerve supplying the lateral rectus muscle of the eye
ABDUCT	pull away from the body
ABDUCTING	especially of muscles; drawing away from the midline of the body or from an adjacent part
ABDUCTION	(physiology) moving of a body part away from the central axis of the body
ABDUCTOR	a muscle that draws a body part away from the median line
ABDUCTORMUSCLE	a muscle that draws a body part away from the median line
ABEAM	at right angles to the length of a ship or airplane
ABECEDARIAN	alphabetically arranged (as for beginning readers)
ABECEDARIUS	a poem having lines beginning with letters of the alphabet in regular order
ABED	in bed
ABEL	Norwegian mathematician (1802-1829)
ABELARD	French philosopher and theologian; lover of Heloise (1079-1142)
ABELE	a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
ABELIANGROUP	a group that satisfies the commutative law
ABELJANSZOONTASMAN	Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
ABELMOSCHUS	genus of tropical coarse herbs having large lobed leaves and often yellow flowers
ABELMOSCHUSMOSCHATUS	bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus
ABELMOSK	bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus
ABELTASMAN	Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
ABENAKI	a member of the Algonquian people of Maine and southern Quebec
ABERDARE	a mining town in southern Wales
ABERDEEN	a city in northeastern Scotland on the North Sea
ABERDEENANGUS	black hornless breed from Scotland
ABERDONIAN	of or relating to Aberdeen
ABERRANCE	a state or condition markedly different from the norm
ABERRANCY	a state or condition markedly different from the norm
ABERRANT	markedly different from an accepted norm
ABERRATE	diverge or deviate from the straight path; produce aberration
ABERRATION	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
ABET	assist or encourage, usually in some wrongdoing
ABETMENT	the verbal act of urging on
ABETTAL	the verbal act of urging on
ABETTER	one who helps or encourages or incites another
ABETTOR	one who helps or encourages or incites another
ABEYANCE	temporary cessation or suspension
ABEYANT	inactive but capable of becoming active
ABFARAD	a capacitance unit equal to one billion farads
ABHENRY	a unit of inductance equal to one billionth of a henry
ABHOR	find repugnant
ABHORRENCE	hate coupled with disgust
ABHORRENT	offensive to the mind
ABIDANCE	the act of abiding (enduring without yielding)
ABIDE	put up with something or somebody unpleasant
ABIDEBY	show respect towards
ABIDING	lasting a long time
ABIDJAN	city recognized by the United States as the capital of the Ivory Coast; largest city of the Ivory Coast
ABIENCE	(psychology) an urge to withdraw or avoid a situation or an object
ABIENT	characterized by avoidance or withdrawal
ABIES	true firs
ABIESALBA	tall timber tree of central and southern Europe having a regular crown and grey bark
ABIESBRACTEATA	a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines
ABIESCONCOLOR	medium to tall fir of central to western United States having a narrow erect crown and soft wood
ABIESGRANDIS	lofty fir of the Pacific coast of northwestern America having long curving branches and deep green leaves
ABIESLASIOCARPA	medium-tall timber tree of the Rocky Mountains having a narrowly conic to columnar crown
ABIESLOWIANA	medium to tall fir of central to western United States having a narrow erect crown and soft wood
ABIESVENUSTA	a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines
ABILA	a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules
ABILENE	a town in central Kansas to the west of Topeka; home of Dwight D. Eisenhower
ABILITY	the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
ABINITIO	at the beginning
ABIOGENESIS	a hypothetical organic phenomenon by which living organisms are created from nonliving matter
ABIOGENETIC	originating by abiogenesis
ABIOGENIST	a believer in abiogenesis
ABIOTROPHY	a loss of vitality and a degeneration of cells and tissues not due to any apparent injury
ABIT	to a small degree; somewhat
ABJECT	showing humiliation or submissiveness
ABJECTION	a low or downcast state
ABJECTLY	in a hopeless resigned manner
ABJURATION	a disavowal or taking back of a previous assertion
ABJURE	formally reject or disavow a formerly held belief, usually under pressure
ABJURER	a person who abjures
ABKHAS	Circassian people living east of the Black Sea
ABKHASIAN	a Circassian language spoken by the Abkhaz
ABKHASIANLANGUAGE	a Circassian language spoken by the Abkhaz
ABKHAZ	of or relating to Abkhazia or its people or their language
ABKHAZIA	republic with limited recognition in the Caucasus
ABKHAZIAN	of or relating to Abkhazia or its people or their language
ABKHAZIANLANGUAGE	a Circassian language spoken by the Abkhaz
ABLACTATE	gradually deprive (infants and young mammals) of mother's milk
ABLACTATION	the act of substituting other food for the mother's milk in the diet of a child or young mammal
ABLATE	remove an organ or bodily structure
ABLATED	made smaller or less by melting or erosion or vaporization
ABLATION	surgical removal of a body part or tissue
ABLATIONMORAINE	a layer of rock particles overlying ice in the ablation of a glacier.
ABLATIVE	tending to ablate; i.e. to be removed or vaporized at very high temperature
ABLATIVEABSOLUTE	a constituent in Latin grammar; a noun and its modifier can function as a sentence modifier
ABLAUT	a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song)
ABLAZE	lighted with red light as if with flames
ABLE	(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something
ABLEBODIED	having a strong healthy body
ABLEBODIEDISM	discrimination in favor of the able-bodied
ABLEBODIEDSAILOR	a sailor in the merchant marine; trained in special skills
ABLEBODIEDSEAMAN	a seaman in the merchant marine; trained in special skills
ABLEBODIEDSEAWOMAN	a female sailor in the merchant marine; trained in special skills
ABLEBODISM	discrimination in favor of the able-bodied
ABLEISM	discrimination in favor of the able-bodied
ABLEPHARIA	a congenital absence of eyelids (partial or complete)
ABLESEAMAN	a seaman in the merchant marine; trained in special skills
ABLESEAWOMAN	a female sailor in the merchant marine; trained in special skills
ABLISM	discrimination in favor of the able-bodied
ABLOOM	when the bud, or buds, on a plant are bursting into flower
ABLS	a bachelor's degree in library science
ABLUTION	the ritual washing of a priest's hands or of sacred vessels
ABLUTIONARY	cleansing the body by washing; especially ritual washing of e.g. hands
ABLY	with competence; in a competent capable manner
ABM	a defensive missile designed to shoot down incoming intercontinental ballistic missiles
ABNAKI	of or relating to the Abnakis or their language
ABNAKILANGUAGE	the Algonquian language spoken by the Abnaki and Penobscot
ABNEGATE	deny or renounce
ABNEGATION	renunciation of your own interests in favor of the interests of others
ABNEGATOR	one who gives up or relinquishes or renounces something
ABNORMAL	much greater than the normal
ABNORMALCY	an abnormal physical condition resulting from defective genes or developmental deficiencies
ABNORMALITY	behavior that breaches the rule or etiquette or custom or morality
ABNORMALLY	in an abnormal manner
ABNORMALPSYCHOLOGY	the branch of psychology concerned with abnormal behavior
ABO	a dark-skinned member of a race of people living in Australia when Europeans arrived
ABOANTIBODIES	blood type antibodies
ABOARD	on first or second or third base
ABOCCLUSION	the condition in which the upper teeth do not touch the lower teeth when biting
ABODE	housing that someone is living in
ABOHM	a unit of resistance equal to a billionth of an ohm
ABOLISH	do away with
ABOLISHABLE	capable of being abolished
ABOLISHMENT	the act of abolishing a system or practice or institution (especially abolishing slavery)
ABOLITION	the act of abolishing a system or practice or institution (especially abolishing slavery)
ABOLITIONARY	relating to or favoring abolition, especially abolition of slavery
ABOLITIONISM	the doctrine that calls for the abolition of slavery
ABOLITIONIST	a reformer who favors abolishing slavery
ABOMASAL	relating to the abomasum (the fourth compartment of the stomach of ruminants)
ABOMASUM	the fourth compartment of the stomach of a ruminant; the one where digestion takes place
ABOMINABLE	exceptionally bad or displeasing
ABOMINABLESNOWMAN	a large hairy humanoid creature said to live in the Himalayas
ABOMINABLY	in a terrible manner
ABOMINATE	find repugnant
ABOMINATION	an action that is vicious or vile; an action that arouses disgust or abhorrence
ABOMINATOR	one who hates or loathes
ABOR	little known Kamarupan languages
ABORAD	away from the mouth or oral region
ABORAL	opposite to or away from the mouth
ABORIGINAL	having existed from the beginning; in an earliest or original stage or state
ABORIGINALAUSTRALIAN	the languages spoken by Australian aborigines
ABORIGINE	an indigenous person who was born in a particular place
ABORLANGUAGE	little known Kamarupan languages
ABORT	the act of terminating a project or procedure before it is completed
ABORTICIDE	the act of destroying a fetus
ABORTIFACIENT	causing abortion
ABORTION	termination of pregnancy
ABORTIONINDUCINGDRUG	a drug (or other chemical agent) that causes abortion
ABORTIONIST	a person (who should be a doctor) who terminates pregnancies
ABORTIVE	failing to accomplish an intended result
ABORTIVELY	in an unfruitful manner
ABORTUS	a human fetus whose weight is less than 0.5 kilogram when removed or expelled from the mother's body
ABOULIA	a loss of will power
ABOULIC	suffering from abulia; showing abnormal inability to act or make decisions
ABOUND	be abundant or plentiful; exist in large quantities
ABOUNDIN	exist in large quantity
ABOUNDING	existing in abundance
ABOUT	(of quantities) imprecise but fairly close to correct
ABOUTFACE	a major change in attitude or principle or point of view
ABOUTTURN	act of pivoting 180 degrees, especially in a military formation
ABOVE	(in writing) at an earlier place
ABOVEALL	above and beyond all other consideration
ABOVEBOARD	in an honest manner
ABOVEGROUND	on or above the surface of the ground
ABOVEMENTIONED	mentioned or named earlier in the same text
ABOVENAMED	mentioned or named earlier in the same text
ABRACADABRA	gibberish and nonsense
ABRACHIA	the condition of having no arms
ABRADANT	a tool or machine used for wearing down or smoothing or polishing
ABRADE	rub hard or scrub
ABRADER	a tool or machine used for wearing down or smoothing or polishing
ABRADINGSTONE	a primitive stone artifact (usually made of sandstone) used as an abrader
ABRAHAMSBOSOM	the place where the just enjoy the peace of heaven after death
ABRAHAMSTOKER	Irish writer of the horror novel about Dracula (1847-1912)
ABRAMIS	European fishes
ABRAMISBRAMA	European freshwater fish having a flattened body and silvery scales; of little value as food
ABRANCHIAL	having no gills
ABRANCHIATE	having no gills
ABRANCHIOUS	having no gills
ABRASE	wear away
ABRASION	the wearing down of rock particles by friction due to water or wind or ice
ABRASIVE	sharply disagreeable; rigorous
ABRASIVEMATERIAL	a substance that abrades or wears down
ABRASIVENESS	the quality of being sharply disagreeable
ABREACT	discharge bad feelings or tension through verbalization
ABREACTION	(psychoanalysis) purging of emotional tensions
ABREAST	alongside each other, facing in the same direction
ABRIDGE	lessen, diminish, or curtail
ABRIDGED	(used of texts) shortened by condensing or rewriting
ABRIDGEMENT	a shortened version of a written work
ABRIDGER	one who shortens or abridges or condenses a written work
ABRIDGMENT	a shortened version of a written work
ABROACH	of a cask or barrel
ABROAD	to or in a foreign country
ABROCOMA	abrocomes
ABROCOME	ratlike rodent with soft fur and large ears of the Andes
ABROGATE	revoke formally
ABROGATION	the act of abrogating; an official or legal cancellation
ABROGATOR	an authority or official empowered to abolish or annul or repeal
ABRONIA	genus of western North American herbs having showy flowers
ABRONIAELLIPTICA	plant having heads of fragrant white trumpet-shaped flowers; grows in sandy arid regions
ABRONIAFRAGRANS	taller than Abronia elliptica and having night-blooming flowers
ABRONIAMARITIMA	plant having hemispherical heads of wine-red flowers; found in coastal dunes from California to Mexico
ABRUPT	surprisingly and unceremoniously brusque in manner
ABRUPTION	an instance of sudden interruption
ABRUPTIOPLACENTAE	a disorder of pregnancy in which the placenta prematurely separates from the wall of the uterus
ABRUPTLY	quickly and without warning
